study_id,site_id,year,soil_sampling,Before or at rye planting,rep,soil_cores_sampled,soil_depth_cm,soil_NH4,soil_NH4_units,soil_NO3,soil_NO3_units,total_inorganic_N,total_inorganic_N_units,soil_textural_class,percent_sand,percent_silt,percent_clay,bulk_density_g_cm3,percent_SOM,percent_SOC,pH
15,WOOSTER.COV,2012,TRUE,,,,20-40,,,,,,,silt loam,18,27,55,,,,5.97
15,WOOSTER.COV,2012,TRUE,,,,40-60,,,,,,,silty clay loam,18,33,49,,,,5.23
15,WOOSTER.COV,2012,TRUE,,,,0-10,,,,,,,silt loam,16,23,61,,,,5.22
15,WOOSTER.COV,2012,TRUE,,,,10-20,,,,,,,silt loam,12,25,62,,,,5.6
15,WOOSTER.COV,2012,TRUE,,,,20-40,,,,,,,silt loam,14,27,58,,,,6.04
15,WOOSTER.COV,2012,TRUE,,,,40-60,,,,,,,silt loam,16,31,53,,,,5.67
16,"College Station, TX I",2020-2021,FALSE,,,,,,,,,,,silt loam,,,,,,,
16,"College Station, TX I",2020-2021,FALSE,,,,,,,,,,,silt loam,,,,,,,
16,"College Station, TX I",2020-2021,FALSE,,,,,,,,,,,silt loam,,,,,,,
16,"College Station, TX II",2020-2021,FALSE,,,,,,,,,,,silt loam,,,,,,,
16,"College Station, TX II",2021-2022,FALSE,,,,,,,,,,,silt loam,,,,,,,
16,"College Station, TX III",2020-2021,FALSE,,,,,,,,,,,clay,,,,,,,
16,"College Station, TX III",2021-2022,FALSE,,,,,,,,,,,clay,,,,,,,
17,Lancaster,2015-2016,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,2,,7.4
17,Lancaster,2015-2016,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,2.1,,7.2
17,Lancaster,2015-2016,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,2.2,,7.3
17,Lancaster,2015-2016,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,2.2,,7.3
17,Lancaster,2016-2017,TRUE,Before or at rye planting,1,,0-15,,,,,,,,,,,,2,,6.1
17,Lancaster,2016-2017,TRUE,Before or at rye planting,2,,0-15,,,,,,,,,,,,1.9,,6.4
17,Lancaster,2016-2017,TRUE,Before or at rye planting,3,,0-15,,,,,,,,,,,,2.1,,6.5
17,Lancaster,2016-2017,TRUE,Before or at rye planting,4,,0-15,,,,,,,,,,,,2.1,,6.6
