study_id,site_id,year,soil_sampling,Before or at rye planting,rep,soil_cores_sampled,soil_depth_cm,soil_NH4,soil_NH4_units,soil_NO3,soil_NO3_units,total_inorganic_N,total_inorganic_N_units,soil_textural_class,percent_sand,percent_silt,percent_clay,bulk_density_g_cm3,percent_SOM,percent_SOC,pH
10,Tennessee Valley Research and Extension Center,2012-2013,FALSE,,3,,,,,,,,,silt loam,,,,,,,
10,E.V. Smith Research Center,2013-2014,FALSE,,4,,,,,,,,,loamy sand,,,,,,,
11,Wiregrass Research and Extension Center,2005-2006,FALSE,,4,,,,,,,,,,,,,,,,
11,Wiregrass Research and Extension Center,2006-2007,FALSE,,4,,,,,,,,,,,,,,,,
11,Wiregrass Research and Extension Center,2007-2008,FALSE,,4,,,,,,,,,,,,,,,,
12,Gulf Coast Research and Extension Center,2003-2004,TRUE,Before or at rye planting,,,0-20,,,,,,,sandy loam,,,,,,,6.1
12,Gulf Coast Research and Extension Center,2004-2005,TRUE,Before or at rye planting,,,0-20,,,,,,,sandy loam,,,,,,,6
12,Gulf Coast Research and Extension Center,2005-2006,TRUE,Before or at rye planting,,,0-20,,,,,,,sandy loam,,,,,,,5.8
13,Prattville Agricultural Research Unit,2003-2004,TRUE,Before or at rye planting,,,,,,,,,,sandy loam,,,,,,,
13,Prattville Agricultural Research Unit,2004-2005,FALSE,,,,,,,,,,,sandy loam,,,,,,,
13,Prattville Agricultural Research Unit,2006-2007,FALSE,,,,,,,,,,,sandy loam,,,,,,,
13,Prattville Agricultural Research Unit,2007-2008,FALSE,,,,,,,,,,,sandy loam,,,,,,,
13,Prattville Agricultural Research Unit,2008-2009,FALSE,,,,,,,,,,,sandy loam,,,,,,,
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,33,31,36,,,,7.8
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,37,31,32,,,,7.8
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,35,31,34,,,,8.15
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,37,31,32,,,,8.2
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,39,29,32,,,,7.6
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,35,31,34,,,,7.45
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,39,31,30,,,,7.75
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,39,29,32,,,,8.2
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,33,33,34,,,,7.55
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,38,34,28,,,,7.3
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,sandy clay loam,46,34,20,,,,7.65
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,38,32,30,,,,7.9
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,loam,45,27,28,,,,7.7
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,35,33,32,,,,7.3
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,37,33,30,,,,7.45
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,35,33,32,,,,8.15
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,39,31,30,,,,7.5
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,33,37,30,,,,7.3
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,43,33,24,,,,7.4
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,35,33,32,,,,8.05
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,30,32,38,,,,7.6
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,28,34,38,,,,7.55
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,28,36,36,,,,7.95
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,22,38,40,,,,7.9
15,GILMORE,2011,TRUE,,,,0-10,,,,,,,clay loam,34,30,36,,,,7.4
15,GILMORE,2011,TRUE,,,,10-20,,,,,,,clay loam,32,32,36,,,,7.15
15,GILMORE,2011,TRUE,,,,20-40,,,,,,,clay loam,28,34,38,,,,7.5
15,GILMORE,2011,TRUE,,,,40-60,,,,,,,clay loam,26,36,38,,,,8.05
